Time,Channel B
(ms),(mV)

-0.69036571,87.38975000
-0.69004571,87.38975000
-0.68972571,87.38975000
-0.68940571,87.38975000
-0.68908571,87.38975000
-0.68876571,82.90353000
-0.68844571,87.38975000
-0.68812571,87.38975000
-0.68780571,87.38975000
-0.68748571,87.38975000
-0.68716571,82.90353000
-0.68684571,87.38975000
-0.68652571,82.90353000
-0.68620571,82.90353000
-0.68588571,82.90353000
-0.68556571,82.90353000
-0.68524571,82.90353000
-0.68492571,82.90353000
-0.68460571,87.38975000
-0.68428571,82.90353000
-0.68396571,82.90353000
-0.68364571,82.90353000
-0.68332571,82.90353000
-0.68300571,82.90353000
-0.68268571,82.90353000
-0.68236571,82.90353000
-0.68204571,82.90353000
-0.68172571,82.90353000
-0.68140571,82.90353000
-0.68108571,82.90353000
-0.68076571,82.90353000
-0.68044571,78.43256000
-0.68012571,78.43256000
-0.67980571,82.90353000
-0.67948571,82.90353000
-0.67916571,78.43256000
-0.67884571,78.43256000
-0.67852571,78.43256000
-0.67820571,82.90353000
-0.67788571,78.43256000
-0.67756571,78.43256000
-0.67724571,78.43256000
-0.67692571,78.43256000
-0.67660571,82.90353000
-0.67628571,78.43256000
-0.67596571,78.43256000
-0.67564571,78.43256000
-0.67532571,78.43256000
-0.67500571,78.43256000
-0.67468571,78.43256000
-0.67436571,78.43256000
-0.67404571,78.43256000
-0.67372571,78.43256000
-0.67340571,78.43256000
-0.67308571,78.43256000
-0.67276571,78.43256000
-0.67244571,78.43256000
-0.67212571,78.43256000
-0.67180571,78.43256000
-0.67148571,78.43256000
-0.67116571,78.43256000
-0.67084571,78.43256000
-0.67052571,78.43256000
-0.67020571,78.43256000
-0.66988571,78.43256000
-0.66956571,78.43256000
-0.66924571,78.43256000
-0.66892571,78.43256000
-0.66860571,78.43256000
-0.66828571,78.43256000
-0.66796571,73.96160000
-0.66764571,78.43256000
-0.66732571,73.96160000
-0.66700571,73.96160000
-0.66668571,73.96160000
-0.66636571,73.96160000
-0.66604571,78.43256000
-0.66572571,73.96160000
-0.66540571,78.43256000
-0.66508571,73.96160000
-0.66476571,73.96160000
-0.66444571,73.96160000
-0.66412571,73.96160000
-0.66380571,73.96160000
-0.66348571,73.96160000
-0.66316571,73.96160000
-0.66284571,73.96160000
-0.66252571,73.96160000
-0.66220571,73.96160000
-0.66188571,73.96160000
-0.66156571,73.96160000
-0.66124571,73.96160000
-0.66092571,73.96160000
-0.66060571,73.96160000
-0.66028571,73.96160000
-0.65996571,73.96160000
-0.65964571,73.96160000
-0.65932571,69.47539000
