Time,Channel A,Channel B
(ms),(mV),(V)

5.29090414,209.35700000,1.00424200
5.29346414,209.35700000,1.00424200
5.29602414,209.35700000,1.00424200
5.29858414,209.35700000,1.00424200
5.30114414,209.35700000,1.00424200
5.30370414,209.35700000,1.00424200
5.30626414,209.35700000,1.00424200
5.30882414,200.44560000,1.00424200
5.31138414,200.44560000,1.00424200
5.31394414,200.44560000,1.00424200
5.31650414,200.44560000,1.00424200
5.31906414,200.44560000,1.00424200
5.32162414,196.00510000,1.00424200
5.32418414,200.44560000,1.00424200
5.32674414,196.00510000,1.00424200
5.32930414,196.00510000,1.00424200
5.33186414,196.00510000,1.00424200
5.33442414,196.00510000,1.00424200
5.33698414,191.54940000,1.00424200
5.33954414,196.00510000,1.00424200
5.34210414,191.54940000,1.00424200
5.34466414,187.09370000,1.00424200
5.34722414,191.54940000,1.00424200
5.34978414,187.09370000,1.00424200
5.35234414,187.09370000,1.00424200
5.35490414,182.63800000,1.00424200
5.35746414,187.09370000,1.00424200
5.36002414,182.63800000,1.00424200
5.36258414,182.63800000,1.00424200
5.36514414,178.18230000,1.00424200
5.36770414,178.18230000,1.00424200
5.37026414,178.18230000,1.00424200
5.37282414,173.72660000,1.00424200
5.37538414,173.72660000,1.00424200
5.37794414,169.27090000,0.98629720
5.38050414,164.81520000,1.00424200
5.38306414,164.81520000,1.00424200
5.38562414,164.81520000,1.00424200
5.38818414,169.27090000,1.00424200
5.39074414,164.81520000,1.00424200
5.39330414,164.81520000,1.00424200
5.39586414,160.35950000,1.00424200
5.39842414,160.35950000,1.00424200
5.40098414,155.90380000,1.00424200
5.40354414,160.35950000,1.00424200
5.40610414,155.90380000,1.00424200
5.40866414,155.90380000,1.00424200
5.41122414,160.35950000,1.00424200
5.41378414,151.46330000,1.00424200
5.41634414,151.46330000,1.00424200
5.41890414,147.00760000,1.00424200
5.42146414,151.46330000,1.00424200
5.42402414,151.46330000,1.00424200
5.42658414,151.46330000,1.00424200
5.42914414,151.46330000,1.00424200
5.43170414,142.55200000,1.00424200
5.43426414,142.55200000,1.00424200
5.43682414,142.55200000,1.00424200
5.43938414,147.00760000,1.00424200
5.44194414,142.55200000,1.00424200
5.44450414,142.55200000,1.00424200
5.44706414,142.55200000,1.00424200
5.44962414,142.55200000,1.00424200
5.45218414,138.09630000,1.00424200
5.45474414,138.09630000,1.00424200
5.45730414,142.55200000,1.00424200
5.45986414,138.09630000,1.00424200
5.46242414,142.55200000,1.00424200
5.46498414,138.09630000,1.00424200
5.46754414,138.09630000,1.00424200
5.47010414,133.64050000,1.00424200
5.47266414,133.64050000,1.00424200
5.47522414,138.09630000,1.00424200
5.47778414,138.09630000,1.00424200
5.48034414,138.09630000,1.00424200
5.48290414,138.09630000,1.00424200
5.48546414,138.09630000,1.00424200
5.48802414,129.18480000,1.00424200
5.49058414,133.64050000,1.00424200
5.49314414,138.09630000,1.00424200
5.49570414,133.64050000,1.00424200
5.49826414,138.09630000,1.00424200
5.50082414,133.64050000,1.00424200
5.50338414,133.64050000,1.00424200
5.50594414,129.18480000,1.00424200
5.50850414,129.18480000,1.00424200
5.51106414,129.18480000,1.00424200
5.51362414,129.18480000,1.00424200
5.51618414,133.64050000,1.00424200
